CaseId,SystemName,Description,PrimaryDomain,DomainList,SystemKind,ActorNames,UseCaseNames,PrimaryActorCount,SecondaryActorCount,UseCaseCount,RelationshipCount,RelationshipTypes,HasInclude,HasExtend,HasGeneralization,CaseOrigin
sql-49,Missile System,"The Missile System is operated by a Launch Station to engage targets and launch missiles. The system includes procedures for testing and handling failed launch scenarios. The Launch Station initiates target engagement, missile launches, and manages failed launch procedures, which may extend the launch process with testing.",Missile Defense,Missile Defense | Weapon Systems | Launch Operations | System Testing | Failure Management,System,Launch Station,Engage Target | Trigger Test | Launch Missile | Execute Failed Launch Procedure,0.0,1.0,4.0,5.0,association | extend | include,Yes,Yes,No,Sql
sql-48,Monitoring System,"The Monitoring System enables Operators, Advanced Operators, Intruders, and Supervisors to interact with environmental monitoring and system control functions. Operators perform autonomous monitoring, while Advanced Operators can set up tracking and perform manual monitoring. Intruders can monitor the environment, and Supervisors handle camera faults. The system includes initialization and termination procedures as part of environmental monitoring.",Security Monitoring,Security Monitoring | System Administration | Environmental Monitoring | Fault Management | Operator Interface,System,Operator | Advanced Operator | Intruder | Supervisor,Setup Track | Initialize System | Terminate System | Perform Autonomous Monitoring | Perform Manual Monitoring | Monitor Environment | Handle Camera Fault,4.0,0.0,7.0,10.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
sql-47,Airport Management System,"The Airport Management System facilitates the coordination of air traffic control, ground operations, and airport safety. The ATC manages control zones and clearances, while also being involved in conflict alerting and prevention, and mission planning. The Ground Operations Team and Airport Safety Team primarily participate in conflict alerting and mission planning respectively. The system extends conflict alerting with conflict prevention when a conflict occurs.",Air Traffic Control,Air Traffic Control | Airport Operations | Conflict Management | Mission Planning | Safety and Security,System,Ground Operations Team | Airport Safety Team | ATC,Manage Control Zone | Manage Clearance | Alert During Conflict | Prevent Conflict | Plan Mission,0.0,3.0,5.0,9.0,association | extend,No,Yes,No,Sql
sql-46,Exam Mobile Application ,"The Exam Mobile Application facilitates exam result management, candidate registration, and transcript verification. Students access their accounts and results, while Data Entry Personnel manage registration and session termination. Qualification Managers authorize results and generate transcripts, and Data Managers verify results. The system supports result updates, reporting, and transcript issuance.",Exam Result Management,Exam Result Management | Candidate Registration | Transcript Verification | User Account Management | Reporting and Analytics,Application,Data Entry Personnel | Qualification Manager | Data Manager | Student,Publish Result | Verify Transcript | Generate Report | Edit Result | Verify Result | View Registration Data | View Result | Terminate Session | Access Account | Update Information | Enter Result | Register Candidate | Generate Transcript | Recieve Transcript | Authorize Result,4.0,0.0,15.0,17.0,association | extend | include,Yes,Yes,No,Sql
sql-45,Fire Alarm System,"The Fire Alarm System is designed to detect fires, alert users and authorities, and facilitate system maintenance and shutdown. It interacts with Technicians for initialization and shutdown, Maintenance Operators for fault handling and maintenance, Installation Personnel for system setup, Civilians who are alerted in case of false alarms or actual fires, Fire Department who are informed of fire events, and Sensors which detect fire events. The system also handles system faults and displays a standby state when no fire is detected.",Fire Safety,Fire Safety | Alarm Systems | Emergency Response | System Maintenance | Sensor Integration,System,Technician | Maintenance Operator | Installation Personnel | Civillian | Fire Department | Sensor,Handle System Fault | Handle False Alarm | Display Standby | Warn Environment | Perform Maintenance | Alert User | Inform Authority | Detect Fire | Shutdown System | Initialize System,5.0,1.0,10.0,18.0,association | extend | generalization | include,Yes,Yes,Yes,Sql
sql-44,Energy Distribution Management System,"The Energy Distribution Management System facilitates the operation and monitoring of power distribution. The Grid Operator interacts with the system to record energy usage and authenticate themselves. The Control Center System is involved in selecting power sources, validating billing, and monitoring power flow. Use cases include generating reports, allocating power, checking transformer loads, activating backup lines, and selecting distribution areas. Authentication is required before selecting a power source, and billing validation includes report generation. Monitoring power flow can be extended by activating a backup line when the main power is unavailable. Transformer load checks are included in power allocation, and power flow monitoring includes transformer load checks.",Energy Distribution,Energy Distribution | Power Grid Management | Billing and Reporting | System Authentication | Power Supply Allocation,System,Grid Operator | Control Center System,Generate Energy Report | Validate Energy Billing | Record Energy Usage | Allocate Power Supply | Check Transformer Load | Activate Backup Line | Monitor Power Flow | Select Distribution Area | Select Power Source | Authenticate Operator,1.0,1.0,10.0,11.0,association | extend | include,Yes,Yes,No,Sql
sql-43,Boarding System,"The Boarding System manages the process of passenger boarding, involving interactions between Passengers and Ticket Clerks. Passengers handover luggage and receive tickets, while Ticket Clerks handle luggage processing, which includes assigning seats and weighing luggage. The system facilitates the efficient and organized boarding of passengers.",Airline Boarding,Airline Boarding | Luggage Handling | Passenger Services | Ticket Management | Travel Logistics,System,Passenger | Ticket Clerk,Assign Seat | Give Ticket | Handover Luggage | Weigh Luggage | Handle Luggage,2.0,0.0,5.0,5.0,association | include,Yes,No,No,Sql
sql-42,Loan Management,"The Loan Management system facilitates the loan application and approval process. Loan Officers utilize the system to check applicant eligibility, credit history, and assess home values, ultimately sanctioning loans. Home Buyers interact with the system to process mortgage and loan applications. The system serves as a central platform for managing the loan lifecycle, from initial application to final approval.",Mortgage Lending,Mortgage Lending | Loan Origination | Credit Risk Assessment | Financial Services | Home Finance,Management,Loan Officer | Home Buyer,Sanction Loan | Check Eligibility | Check Credit History | Assess Home Value | Process Mortgage Application | Process Loan Application,2.0,0.0,6.0,6.0,association,No,No,No,Sql
sql-41,Flight Reservation System,"The Flight Reservation System facilitates booking, managing, and modifying flight reservations. Customers can search for and book tickets. Agents assist passengers and manage reservations. Administrators handle user accounts, flight schedules, and technical issues. The system includes functionality for checking flight availability, editing bookings, and cancelling reservations, with the latter optionally triggering reservation management.",Airline Reservation,Airline Reservation | Travel Management | Customer Service | Flight Operations | User Account Management,System,Administrator | Agent | Customer,Edit Booking | Cancel Booking | Manage Reservation | Check Availability | Assist Passenger | Resolve Technical Issue | Manage User Account | Manage Flight Schedule | Book Ticket | Search Flight,3.0,0.0,10.0,10.0,association | extend | include,Yes,Yes,No,Sql
sql-40,Course Registration,"The Course Registration system facilitates the process of students enrolling in college, selecting courses, and registering for those courses. Professors are involved in course selection, and the Registrar manages the closing of registration. Students can also drop courses, potentially extending the registration process based on change requirements.",Higher Education Administration,Higher Education Administration | Student Information Systems | Course Management | Academic Registration | Educational Services,Registration,Registrar | Professor | Student,Drop Course | Enrol In College | Close Registration | Select Course | Register For Course,3.0,0.0,5.0,6.0,association | extend | include,Yes,Yes,No,Sql
