CaseId,Title,SystemName,SystemSynonyms,Description,PrimaryDomain,Domains,PrimaryActors,SecondaryActors,AllActors,PrimaryActorCount,SecondaryActorCount,TotalActorCount,UseCases,UseCaseCount,RelationshipTypes,RelationshipCount,HasInclude,HasExtend,HasGeneralization,ActorSynonyms,UseCaseSynonyms,CreatedAt
1,Online Shopping System,Online Shopping System,Shopping System | Online Store,"The Online Shopping System facilitates product management, user registration, and the purchase of products. Administrators manage the product catalog, while users can browse, add items to a cart, purchase products, report issues, and access their accounts. The Backend Database System supports product information and user registration.",Customer Support,Customer Support | Database Management | E-commerce | Product Management | User Account Management,Administrator | User,Backend Database System,Administrator | Backend Database System | User,2,1,3,Access Account | Add Product | Add To Cart | Buy Product | Delete Product | Recommend New Product | Register User | Report Technical Issue | Update Product Detail | View Product,10,association | extend,12,No,Yes,No,"Administrator: System Manager, System Admin, System Admin, School Admin, Admin, Admin, Admin, System Admin, Admin, System Manager | Backend Database System: Data System, Database | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Access Account: Login Account, Open Account, Open Profile, View Account, Open Account, Login Account, Open Account, View Account | Add Product: Create Product | Add To Cart: Insert Item | Buy Product: Purchase Product | Delete Product: Remove Product | Recommend New Product: Suggest Product, Propose Product | Register User: Create User, Enroll User, Add User, Create User, Create User | Report Technical Issue: Log Issue, Notify Problem | Update Product Detail: Revise Product, Modify Product | View Product: Inspect Product",2026-02-26 18:28:04
2,Administration Application,Administration Application,Admin Application | Administration App,"The Administration Application provides functionalities for managing system operations, user access, and logging. The Website Administrator and Helpdesk interact with the system to perform tasks such as managing users, sessions, logs, and access control policies. System backups are performed as part of access control policy management. The Helpdesk primarily focuses on log and session management, while the Website Administrator handles a broader range of administrative tasks including user management.",Access Control Management,Access Control Management | Log Management | System Administration | System Backup and Recovery | User Management,Website Administrator,Helpdesk,Helpdesk | Website Administrator,1,1,2,Manage Access Control Policy | Manage Logs | Manage Session | Manage User | Perform System Backup,5,association | include,7,Yes,No,No,"Helpdesk: Support | Website Administrator: Web Admin, Admin","Manage Access Control Policy: Control Access, Access Management | Manage Logs: Review Logs, Audit Logs | Manage Session: Session Control, Control Session | Manage User: User Control, Control User, Update User, Maintain User | Perform System Backup: Create Backup, Backup System",2026-02-26 18:28:23
3,Design Support System,Design Support System,Support System | Design System,"The Design Support System facilitates the design and finalization of products, primarily furniture, involving clients, engineers, and administration. Clients initiate requirements and finalize products, while engineers focus on structural and heating design approvals. Administration verifies client requirements. The system supports issue reporting that can extend the product finalization process.",Furniture Design,"Furniture Design | Heating, Ventilation, and Air Conditioning (HVAC) | Product Lifecycle Management | Requirements Management | Structural Engineering",Administration | Client | Engineer,,Administration | Client | Engineer,3,0,3,Approve Heating Design | Approve Structural Design | Finalize Product | Report Issue | Validate Furniture Design | Verify Client Requirement,6,association | extend | include,10,Yes,Yes,No,"Administration: Admin, Management | Client: Customer, Diner, Patron, Customer, User | Engineer: Developer, Designer","Approve Heating Design: Check Heating, Review Heating | Approve Structural Design: Check Structure, Review Structure | Finalize Product: Close Product, Complete Product | Report Issue: Log Issue, Note Problem | Validate Furniture Design: Review Furniture, Check Furniture | Verify Client Requirement: Check Requirement, Confirm Requirement",2026-02-26 18:28:43
4,Vehicle ,Vehicle ,Automobile | Transport,"The Vehicle system manages core vehicle functions and passenger interactions. The Driver operates the vehicle, while the Vehicle Occupant interacts with accessories and enters/exits the vehicle. The system provides functionalities like driving, braking, controlling entertainment and climate, and managing vehicle access. The system interacts with the Driver to perform driving actions, and with the Vehicle Occupant to control accessories and manage entry/exit.",Automotive Engineering,Automotive Engineering | Passenger Comfort Systems | Vehicle Access Control | Vehicle Control Systems | Vehicle Safety Systems,Driver | Vehicle Occupant,,Driver | Vehicle Occupant,2,0,2,Control Climate System | Control Entertainment System | Control Vehicle Accessory | Drive Vehicle | Enter Vehicle | Exit Vehicle | Open Door | Perform Anti Lock Braking,8,association | extend | generalization | include,9,Yes,Yes,Yes,"Driver: Operator, Vehicle Operator, Operator | Vehicle Occupant: Rider, Passenger","Control Climate System: Adjust Climate, Manage Climate | Control Entertainment System: Adjust Entertainment, Manage Entertainment | Control Vehicle Accessory: Adjust Accessory, Manage Accessory | Drive Vehicle: Operate Vehicle, Steer Vehicle | Enter Vehicle: Board Vehicle | Exit Vehicle: Leave Vehicle | Open Door: Unlock Door | Perform Anti Lock Braking: Engage Abs, Activate Abs",2026-02-26 18:29:05
5,Airport,Airport,Air Terminal | Flight Center,"The Airport system manages passenger check-in, baggage handling, and boarding processes. Airport Staff interact with the system to issue boarding passes and validate check-ins. Passengers interact with the system to validate their check-in (individually or in groups) and drop off baggage. The system includes processes for assigning gates and handling baggage, which are incorporated into other use cases.",Airline Operations,Airline Operations | Airport Security | Baggage Handling | Gate Management | Passenger Check-in,Airport Staff | Passenger,,Airport Staff | Passenger,2,0,2,Assign Gate | Drop Baggage | Enter Security Screening | Handle Baggage | Issue Boarding Pass | Validate Counter Checkin | Validate Group Checkin | Validate Individual Checkin,8,association | include,8,Yes,No,No,"Airport Staff: Airport Employee, Terminal Staff | Passenger: Patron, Traveler, Flyer, Traveler",Assign Gate: Allocate Gate | Drop Baggage: Check Baggage | Enter Security Screening: Pass Screening | Handle Baggage: Manage Baggage | Issue Boarding Pass: Provide Pass | Validate Counter Checkin: Confirm Checkin | Validate Group Checkin: Confirm Checkin | Validate Individual Checkin: Confirm Checkin,2026-02-26 18:29:25
6,Sentinel EMS,Sentinel EMS,EMS System | Sentinel EMS | Sentinel,"The Sentinel EMS system manages product definition, customer management, and environment configuration. Privilege Managers and Customer Service representatives manage customer data. Developers generate product keys, trial products, branded resources, and runtime installers. Product Managers define product features. The system includes functionality for defining both trial and full products, with trial products incorporating runtime installer generation. Environment management is included in branded resource generation and product key generation.",Customer Relationship Management,Customer Relationship Management | Entitlement Management | Environment Configuration | Product Lifecycle Management | Software Distribution,Customer Service | Developer | Privilege Manager | Product Manager,,Customer Service | Developer | Privilege Manager | Product Manager,4,0,4,Define Feature | Define Full Product | Define Product | Define Trial Product | Generate Branded Rus | Generate Product Key | Generate Runtime Installer | Generate Trial Product | Manage Customer | Manage Environment,10,association | extend | generalization | include,13,Yes,Yes,Yes,"Customer Service: Customer Support, Service Agent | Developer: Software Engineer, Programmer | Privilege Manager: Access Manager, Privilege Admin | Product Manager: Product Lead, Product Owner","Define Feature: Configure Feature, Set Feature | Define Full Product: Set Product, Configure Product | Define Product: Configure Product, Set Product | Define Trial Product: Configure Trial, Set Trial | Generate Branded Rus: Issue Rus, Create Rus | Generate Product Key: Create Key, Issue Key | Generate Runtime Installer: Build Installer, Create Installer | Generate Trial Product: Issue Trial, Create Trial | Manage Customer: Update Customer, Maintain Customer | Manage Environment: Maintain Environment, Update Environment",2026-02-26 18:29:47
7,Cab Booking Application,Cab Booking Application,Booking System | Cab Application | Ride App,"The Cab Booking Application facilitates users in booking cabs. Users interact with the system to choose locations, book cabs, view available cabs, confirm bookings, access their accounts, and delete bookings. The Backend actor supports the system by confirming bookings and providing available cab information.",Mobile Applications,Mobile Applications | Payment Processing | Ride-Hailing Services | Transportation Logistics | User Account Management,User,Backend,Backend | User,1,1,2,Access Account | Book Cab | Choose Location | Confirm Booking | Delete Booking | Show Available Cabs | Show Driver Information | Show Payment Method,8,association | extend | include,11,Yes,Yes,No,"Backend: System Core, Processing Unit, Server | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Access Account: Login Account, Open Account, Open Profile, View Account, Open Account, Login Account, Open Account, View Account | Book Cab: Order Cab, Request Ride | Choose Location: Define Destination, Select Location | Confirm Booking: Accept Ride, Validate Booking | Delete Booking: Cancel Booking, Remove Reservation | Show Available Cabs: List Vehicle, Display Cabs | Show Driver Information: Present Driver, Display Driver | Show Payment Method: Display Payment, Present Option, Display Method, Present Method",2026-02-26 18:30:12
8,Appointment Booking ,Appointment Booking ,Booking System | Appointment System,"The Appointment Booking system facilitates the scheduling of appointments between a User and a Service Provider. Users can initiate calls, while Service Providers manage technical issues and appointment slots. The Payment Gateway handles payment-related functionalities. Scheduling an appointment automatically triggers a confirmation. Showing a payment method necessitates receiving payment. Displaying available slots can be extended to show alternative options when no slots are available.",Appointment Scheduling,Appointment Scheduling | Communication | Customer Support | Payment Processing | Service Management,Service Provider | User,Payment Gateway,Payment Gateway | Service Provider | User,2,1,3,Display Available Slot | Make Call | Receive Payment | Resolve Technical Issue | Schedule Appointment | Send Confirmation | Show Alternative Option | Show Payment Method,8,association | extend | include,9,Yes,Yes,No,"Payment Gateway: Payor, Gateway | Service Provider: Provider, System Admin, Provider, Practitioner | User: Borrower, Student, Controller, Customer, Customer, Client, Shopper, Patron, Subscriber, Rider, Passenger, Client, Client, Learner, Caller, Client, Operator","Display Available Slot: Show Slot, Present Availability | Make Call: Place Call | Receive Payment: Process Payment, Accept Payment, Collect Payment, Accept Payment, Accept Payment | Resolve Technical Issue: Fix Problem, Fix Issue, Correct Error | Schedule Appointment: Book Appointment, Book Appointment, Arrange Visit, Arrange Visit | Send Confirmation: Issue Confirmation, Deliver Notice | Show Alternative Option: Display Alternative, Present Choice | Show Payment Method: Display Payment, Present Option, Display Method, Present Method",2026-02-26 18:30:34
9,Satellite System,Satellite System,Space System | Satellite,"The Satellite System manages the operation of a satellite, enabling payload status retrieval, command transmission (both real-time and stored), infrared sensor pointing, and orbital maneuvers. The system interacts with Payload Operators for status and sensor control, Flight Controllers for orbital adjustments, and Environmental Test Engineers for power generation testing. The Solar Simulation Chamber is used to test electricity generation.",Infrared Sensor Operation,Infrared Sensor Operation | Orbital Mechanics | Payload Management | Power Systems Testing | Satellite Command and Control,Environmental Test Engineer | Flight Controller | Payload Operator,Solar Simulation Chamber,Environmental Test Engineer | Flight Controller | Payload Operator | Solar Simulation Chamber,3,1,4,Execute Hohmann Transfer | Generate Electricity | Get Payload Status | Point Infrared Sensor | Send Command | Send Real Time Command | Send Stored Command,7,association | generalization | include,10,Yes,No,Yes,"Environmental Test Engineer: Test Engineer, Environment Engineer | Flight Controller: Flight Team, Controller | Payload Operator: Payload User, Operator | Solar Simulation Chamber: Simulation Chamber, Solar Chamber","Execute Hohmann Transfer: Initiate Transfer, Perform Transfer | Generate Electricity: Produce Power, Create Electricity | Get Payload Status: Read Status, Fetch Status | Point Infrared Sensor: Aim Sensor, Direct Sensor | Send Command: Transmit Command, Issue Command, Transmit Command | Send Real Time Command: Transmit Command, Issue Command | Send Stored Command: Issue Stored Command, Transmit Stored Command",2026-02-26 18:30:58
10,UAV Mission Planning,UAV Mission Planning,Mission System | UAV Planning | UAV Control,"The UAV Mission Planning system enables an Operator to plan, execute, and monitor missions for Unmanned Aerial Vehicles (UAVs). The Operator interacts with the system to create missions, allocate UAVs, and evaluate mission outcomes. The system utilizes a Camera for image capture during missions, a Server for command processing and mission initiation, and GPS for coordinate management. The system supports creating markers and removing coordinates as part of mission definition, and sending commands to the UAV during mission execution.",Command and Control Systems,Command and Control Systems | Geospatial Data Processing | Image Acquisition | Mission Planning | UAV Mission Management,Operator,Camera | GPS | Server,Camera | GPS | Operator | Server,1,3,4,Allocate Uav | Assign Search Area | Capture Image | Create Marker | Create Mission | Evaluate Mission | Feed Command | Monitor Mission | Remove Coordinate | Send Command | Start Mission,11,association | include,14,Yes,No,No,"Camera: Imager | GPS: Global Positioning | Operator: Admin, User, Controller, User, Staff, Controller, User | Server: Host, System Server","Allocate Uav: Assign Uav | Assign Search Area: Define Area | Capture Image: Record Image | Create Marker: Define Marker | Create Mission: Define Mission | Evaluate Mission: Assess Mission | Feed Command: Provide Command | Monitor Mission: Track Mission | Remove Coordinate: Delete Coordinate | Send Command: Transmit Command, Issue Command, Transmit Command | Start Mission: Initiate Mission",2026-02-26 18:31:23
